Date,Close
6/23/2021,7215.5
6/24/2021,7233
6/25/2021,7294.5
6/28/2021,7557
6/29/2021,7473
6/30/2021,7483.5
7/1/2021,7629.5
7/2/2021,7653
7/5/2021,7790.5
7/6/2021,7707
7/7/2021,7623.5
7/8/2021,7495
7/12/2021,7577.5
7/13/2021,7619
7/14/2021,7524.5
7/15/2021,7508.5
7/16/2021,7479
7/19/2021,7482.5
7/20/2021,7653
7/21/2021,7755
7/22/2021,7918
7/23/2021,8332
7/26/2021,8399
7/27/2021,8284.5
7/28/2021,8460.5
7/29/2021,8263.5
7/30/2021,8080.5
8/2/2021,7980
8/3/2021,7902
8/4/2021,8061
8/5/2021,8137
8/6/2021,8090
8/9/2021,7999
8/10/2021,7990.5
8/11/2021,7984
8/12/2021,7965
8/13/2021,8215
8/17/2021,7930
8/18/2021,7900.5
8/19/2021,7960
8/20/2021,8164
8/23/2021,8095.5
8/24/2021,8035
8/25/2021,8141.5
8/26/2021,8104
8/27/2021,8298
8/30/2021,8353.5
8/31/2021,8418
9/1/2021,8479.5
9/2/2021,8338
9/3/2021,8369.5
9/6/2021,8539.5
9/7/2021,8501
9/8/2021,8393
9/9/2021,8567
9/10/2021,8701.5
9/13/2021,8424
9/14/2021,8429
9/15/2021,8412.5
9/16/2021,8518
9/17/2021,8263.5
9/20/2021,8181.5
9/21/2021,8327
9/22/2021,8128
9/23/2021,8251.5
9/24/2021,8500.5
9/27/2021,8589.5
9/28/2021,8298.5
9/29/2021,8282.5
9/30/2021,8187
10/1/2021,8302
10/4/2021,7850.5
10/5/2021,7965.5
10/6/2021,8009
10/7/2021,7937
10/12/2021,7782
10/13/2021,7852
10/14/2021,7976
10/15/2021,7917
10/18/2021,8195.5
10/19/2021,8339
10/20/2021,8339
10/21/2021,8476
10/22/2021,8127.5
10/25/2021,8226.5
10/26/2021,7943.5
10/27/2021,7918.5
10/28/2021,8218.5
10/29/2021,8492.5
11/1/2021,8878
11/2/2021,8902
11/3/2021,8928
11/4/2021,9084.5
11/5/2021,9232
11/8/2021,9181
11/9/2021,8913.5
11/10/2021,8663
11/11/2021,8829.5
11/12/2021,9161.5
11/15/2021,9126.5
11/16/2021,9129
11/17/2021,9126.5
11/18/2021,9060
11/19/2021,9343
11/23/2021,9143.5
11/24/2021,9241.5
11/25/2021,9348.5
11/26/2021,8785.5
11/29/2021,8977.5
11/30/2021,8703.5
12/1/2021,8566.5
12/2/2021,8483.5
12/3/2021,8337
12/6/2021,8709
12/7/2021,8799
12/9/2021,8705
12/10/2021,8576
12/13/2021,8609
12/14/2021,8536.5
12/15/2021,8424.5
12/16/2021,8476
12/17/2021,8572
12/20/2021,8371.5
12/21/2021,8743.5
12/22/2021,8615
12/23/2021,8570.5
12/27/2021,8607.5
12/28/2021,8621.5
12/29/2021,8643
12/30/2021,8748
1/3/2022,8735
1/4/2022,8607.5
1/5/2022,8505.5
1/6/2022,8814.5
1/7/2022,8803
1/10/2022,8729.5
1/11/2022,8783.5
1/12/2022,8719.5
1/13/2022,8583.5
1/14/2022,8639.5
1/17/2022,8672.5
1/18/2022,8499.5
1/19/2022,8634.5
1/20/2022,8864.5
1/21/2022,8589
1/24/2022,8575
1/25/2022,8731.5
1/26/2022,8553
1/27/2022,8639
1/28/2022,8330.5
1/31/2022,8682.5
2/1/2022,8838
2/2/2022,8898
2/3/2022,6571.5
2/4/2022,6600.5
2/7/2022,6241.5
2/8/2022,5877.5
2/9/2022,6218
2/10/2022,6154.5
2/11/2022,5908
2/14/2022,5809
2/15/2022,5841.5
2/16/2022,5676
2/17/2022,5542
2/18/2022,5385
2/21/2022,5251
2/22/2022,5131.5
2/23/2022,5067.5
2/24/2022,5189.5
2/25/2022,5228
3/2/2022,5264
3/3/2022,5135
3/4/2022,5033.5
3/7/2022,4734.5
3/8/2022,4785.5
3/9/2022,4771.5
3/10/2022,4673
3/11/2022,4543.5
3/14/2022,4400
3/15/2022,4548
3/16/2022,4929
3/17/2022,5085
3/18/2022,5268
3/21/2022,5193.5
3/22/2022,5429
3/23/2022,5387
3/25/2022,5527
3/28/2022,5471
3/29/2022,5527
3/30/2022,5479
3/31/2022,5364
4/1/2022,5322.5
4/4/2022,5567
4/5/2022,5490.5
4/6/2022,5313
4/7/2022,5346
4/8/2022,5316
4/11/2022,5162.5
4/12/2022,5127
4/13/2022,5141
4/18/2022,4967
4/19/2022,5191
4/20/2022,4902.5
4/21/2022,4793
4/22/2022,4836.5
4/25/2022,4897
4/26/2022,4870
4/27/2022,4616
4/28/2022,5305
4/29/2022,5201
5/2/2022,5545.5
5/3/2022,5502
5/4/2022,5709.5
5/5/2022,5383.5
5/6/2022,5333
5/9/2022,5087
5/10/2022,5178
5/11/2022,4902
5/12/2022,4979.5
5/13/2022,5280
5/16/2022,5330
5/17/2022,5335
5/19/2022,5023
5/20/2022,5093
5/23/2022,5125
5/24/2022,4835
5/26/2022,5133
5/27/2022,5187.5
5/30/2022,5205.5
5/31/2022,5154
6/1/2022,4963.5
6/2/2022,5200
6/3/2022,5000
6/6/2022,5129
6/7/2022,5136.5
6/8/2022,5174.5
